objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation,photo_type
fortgeorgepodcast001,210a.jpg,,Spokane's Great Restaurant,image/jpeg,Photo of Spokane's Great Restaurant,,,1920,yes,archival image,Religion; Frank B. Robinson,Spoken_WA,,,,,,,,,,,Image,,,Black and White
fortgeorgepodcast002,210b.jpg,,Postcard,image/jpeg,A postcard sent to someone,,,1947,yes,archival image,God-Law; Life Spirit; Mircales; Healing; Sudent Letters; Testimonials,"Springfield, IL",,,,,,,,,,,,,,
